student_id,answer_id,subject_id,subject_name,Topic,Subtopic,q_text,q_image,q_text1,model solution,student answer,maximum_mark,mark_awarded,Mistake?,mistake category,topical skill level
192153,124509706,3,Science,Magnets,Recognise that magnets attract magnetic materials,<html><head></head><body><p>Which containers will the iron and glass beads fall into?&nbsp;</p></body></html>,https://attachment.srv.geniebook.com/api/v2/public/files/dvMdDHkPRkt6D4WX.svg,<html><head></head><body><p>Which containers will the iron and glass beads fall into?&nbsp;</p></body></html>,,non magnetic materials,1,0,y,Magnetic materials,6
192153,124317244,3,Science,Magnets,Recognise the uses of magnets in everyday objects,<html><head></head><body><p>State another use of electromagnet.</p></body></html>,,<html><head></head><body><p>State another use of electromagnet.</p></body></html>,<html><head></head><body><p><strong>MRI machine/Maglev train&nbsp;</strong>[1]&nbsp;</p><p>&nbsp;</p><p><i>Accept any possible &nbsp;answer.</i></p></body></html>,helps to separate magnetic and non magnetic materials .,1,0,y,Magnet uses,6
192153,109579650,3,Science,Magnets,Recognise how a temp magnet can be made (electrical method),<html><head></head><body><p>Suggest one change to the set-up to decrease the speed of the vehicle entry barrier.</p></body></html>,,<html><head></head><body><p>Suggest one change to the set-up to decrease the speed of the vehicle entry barrier.</p></body></html>,<html><head></head><body><p>Decrease the number of coils of wire around the iron rod.</p></body></html>,decrease the number of coils,1,1,n,,6
192153,109306331,3,Science,Magnets,Identify poles of magnets in diagram*,Susan arranged some magnets as shown below.,images/qi/Default Folder/2381a_qsn_img_0_1389948273.png,Susan arranged some magnets as shown below.,B,C,2,0,y,Magnet poles,6
192153,124317187,3,Science,Magnets,Compare the magnetic strength of magnets,<html><head></head><body><p>Explain why the steel bar moved towards iron rod B.&nbsp;</p></body></html>,,<html><head></head><body><p>Explain why the steel bar moved towards iron rod B.&nbsp;</p></body></html>,"<html><head></head><body><p>Iron rod B has&nbsp;<strong>more coils of wire</strong> around it than iron rod A. [1] Hence, it has a&nbsp;<strong>stronger magnetism</strong> than A and will attract the steel bar towards it. [1]&nbsp;</p></body></html>",it had the most number of coils on iron rod B but A had the least number of coils .,2,1,y,Magnetic strength,6
192153,124317141,3,Science,Magnets,Recognise unlike poles attract and like poles repel,"<html><head></head><body><p>If J is the North pole of magnet A, what poles do M and O represent? [1]&nbsp;</p><p>M: ________ pole&nbsp;</p><p>O: ________ pole&nbsp;</p></body></html>",,"<html><head></head><body><p>If J is the North pole of magnet A, what poles do M and O represent? [1]&nbsp;</p><p>M: ________ pole&nbsp;</p><p>O: ________ pole&nbsp;</p></body></html>",<html><head></head><body><p>M: <strong>South</strong> pole&nbsp;</p><p>O: <strong>North</strong> pole&nbsp;</p></body></html>,"M : south 
O : north",1,1,n,,6
192153,110179775,3,Science,Magnets,"Differentiate magnets, magnetic and non-magnetic materials","<html><head></head><body><p>An experiment was conducted with three different bars, A, B and C. The observations when two bars were placed near to each other are recorded in the table below.&nbsp;</p></body></html>",https://attachment.srv.geniebook.com/api/v2/public/files/fkbsqtVhh2y01SYU.svg,"<html><head></head><body><p>An experiment was conducted with three different bars, A, B and C. The observations when two bars were placed near to each other are recorded in the table below.&nbsp;</p></body></html>",C,C,2,2,n,,6
192153,112238289,3,Science,Magnets,Describe the methods to demagnetise a magnet*,Study the diagram below.,images/qi/Default Folder/2533a_qsn_img_0_1574490820.png,Study the diagram below.,<b>Heating</b> the magnet causes it to <b>lose some of its magnetism</b>.,A magnet can attract magnetic objects but when you heat it it will attract the least pins,1,0,y,Demagnetising methods,6
192153,109567047,3,Science,Magnets,Recognise how a temporary magnet can be made (stroke method),"Based on the materials he has, which method should he use?",,"Based on the materials he has, which method should he use?",Stroking method,The stroking method should be used.,1,1,n,,6
192153,119000384,3,Science,Magnets,Recognise the magnetism of magnet is strongest at its poles,"Based on the magnets X and Y below, which of the following parts of the magnets can attract more pins?",images/qi/Default Folder/2497a_qsn_img_0_1390293991.png,"Based on the magnets X and Y below, which of the following parts of the magnets can attract more pins?",B,B,2,2,n,,6
